From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
GRB2_HUMAN	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217
NKX31_HUMAN	Q99801	reviewed	NKX31_HUMAN	Homeobox protein Nkx-3.1 (Homeobox protein NK-3 homolog A)	NKX3-1 NKX3.1 NKX3A	Homo sapiens (Human)	234
NUD15_HUMAN	Q9NV35	reviewed	NUD15_HUMAN	Nucleotide triphosphate diphosphatase NUDT15 (EC 3.6.1.9) (MutT homolog 2) (MTH2) (Nucleoside diphosphate-linked moiety X motif 15) (Nudix motif 15) (Nucleoside diphosphate-linked to another moiety X hydrolase 15) (Nudix hydrolase 15)	NUDT15 MTH2	Homo sapiens (Human)	164
GLPA_HUMAN	P02724	reviewed	GLPA_HUMAN	Glycophorin-A (MN sialoglycoprotein) (PAS-2) (Sialoglycoprotein alpha) (CD antigen CD235a)	GYPA GPA MNS	Homo sapiens (Human)	150
NPC1_HUMAN	O15118	reviewed	NPC1_HUMAN	NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein)	NPC1	Homo sapiens (Human)	1278
MET_HUMAN	P08581	reviewed	MET_HUMAN	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390
UBR5_HUMAN	O95071	reviewed	UBR5_HUMAN	E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)	UBR5 EDD EDD1 HYD KIAA0896	Homo sapiens (Human)	2799
HXK4_HUMAN	P35557	reviewed	HXK4_HUMAN	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)	GCK	Homo sapiens (Human)	465
S22A1_HUMAN	O15245	reviewed	S22A1_HUMAN	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)	SLC22A1 OCT1	Homo sapiens (Human)	554
TPMT_HUMAN	P51580	reviewed	TPMT_HUMAN	Thiopurine S-methyltransferase (EC 2.1.1.67) (Thiopurine methyltransferase)	TPMT	Homo sapiens (Human)	245
CBX4_HUMAN	O00257	reviewed	CBX4_HUMAN	E3 SUMO-protein ligase CBX4 (EC 2.3.2.-) (Chromobox protein homolog 4) (Polycomb 2 homolog) (Pc2) (hPc2)	CBX4	Homo sapiens (Human)	560
SRBS1_HUMAN	Q9BX66	reviewed	SRBS1_HUMAN	Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)	SORBS1 KIAA0894 KIAA1296 SH3D5	Homo sapiens (Human)	1292
TPK1_HUMAN	Q9H3S4	reviewed	TPK1_HUMAN	Thiamine pyrophosphokinase 1 (hTPK1) (EC 2.7.6.-) (Placental protein 20) (PP20) (Thiamin pyrophosphokinase 1)	TPK1	Homo sapiens (Human)	243
A4_HUMAN	P05067	reviewed	A4_HUMAN	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
UBE4B_HUMAN	O95155	reviewed	UBE4B_HUMAN	Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2)	UBE4B HDNB1 KIAA0684 UFD2	Homo sapiens (Human)	1302
MSH2_HUMAN	P43246	reviewed	MSH2_HUMAN	DNA mismatch repair protein Msh2 (hMSH2) (MutS protein homolog 2)	MSH2	Homo sapiens (Human)	934
VKOR1_HUMAN	Q9BQB6	reviewed	VKOR1_HUMAN	Vitamin K epoxide reductase complex subunit 1 (EC 1.17.4.4) (Vitamin K1 2,3-epoxide reductase subunit 1)	VKORC1 VKOR MSTP134 MSTP576 UNQ308/PRO351	Homo sapiens (Human)	163
ACE2_HUMAN	Q9BYF1	reviewed	ACE2_HUMAN	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	Homo sapiens (Human)	805
P53_HUMAN	P04637	reviewed	P53_HUMAN	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
RAF1_HUMAN	P04049	reviewed	RAF1_HUMAN	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF	Homo sapiens (Human)	648
LYAM1_HUMAN	P14151	reviewed	LYAM1_HUMAN	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)	SELL LNHR LYAM1	Homo sapiens (Human)	372
B2L11_HUMAN	O43521	reviewed	B2L11_HUMAN	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	BCL2L11 BIM	Homo sapiens (Human)	198
MK01_HUMAN	P28482	reviewed	MK01_HUMAN	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	MAPK1 ERK2 PRKM1 PRKM2	Homo sapiens (Human)	360
SUMO1_HUMAN	P63165	reviewed	SUMO1_HUMAN	Small ubiquitin-related modifier 1 (SUMO-1) (GAP-modifying protein 1) (GMP1) (SMT3 homolog 3) (Sentrin) (Ubiquitin-homology domain protein PIC1) (Ubiquitin-like protein SMT3C) (Smt3C) (Ubiquitin-like protein UBL1)	SUMO1 SMT3C SMT3H3 UBL1 OK/SW-cl.43	Homo sapiens (Human)	101
CASP3_HUMAN	P42574	reviewed	CASP3_HUMAN	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	CASP3 CPP32	Homo sapiens (Human)	277
ADRB2_HUMAN	P07550	reviewed	ADRB2_HUMAN	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2 ADRB2R B2AR	Homo sapiens (Human)	413
CCR5_HUMAN	P51681	reviewed	CCR5_HUMAN	C-C chemokine receptor type 5 (C-C CKR-5) (CC-CKR-5) (CCR-5) (CCR5) (CHEMR13) (HIV-1 fusion coreceptor) (CD antigen CD195)	CCR5 CMKBR5	Homo sapiens (Human)	352
AICDA_HUMAN	Q9GZX7	reviewed	AICDA_HUMAN	Single-stranded DNA cytosine deaminase (EC 3.5.4.38) (Activation-induced cytidine deaminase) (AID) (Cytidine aminohydrolase)	AICDA AID	Homo sapiens (Human)	198
OTC_HUMAN	P00480	reviewed	OTC_HUMAN	Ornithine transcarbamylase, mitochondrial (OTCase) (EC 2.1.3.3) (Ornithine carbamoyltransferase, mitochondrial)	OTC	Homo sapiens (Human)	354
HECD1_HUMAN	Q9ULT8	reviewed	HECD1_HUMAN	E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1)	HECTD1 KIAA1131	Homo sapiens (Human)	2610
SCN5A_HUMAN	Q14524	reviewed	SCN5A_HUMAN	Sodium channel protein type 5 subunit alpha (Sodium channel protein cardiac muscle subunit alpha) (Sodium channel protein type V subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.5) (hH1)	SCN5A	Homo sapiens (Human)	2016
SRC_HUMAN	P12931	reviewed	SRC_HUMAN	Proto-oncogene tyrosine-protein kinase Src (EC 2.7.10.2) (Proto-oncogene c-Src) (pp60c-src) (p60-Src)	SRC SRC1	Homo sapiens (Human)	536
BRCA1_HUMAN	P38398	reviewed	BRCA1_HUMAN	Breast cancer type 1 susceptibility protein (EC 2.3.2.27) (RING finger protein 53) (RING-type E3 ubiquitin transferase BRCA1)	BRCA1 RNF53	Homo sapiens (Human)	1863
MTHR_HUMAN	P42898	reviewed	MTHR_HUMAN	Methylenetetrahydrofolate reductase (NADPH) (EC 1.5.1.53)	MTHFR	Homo sapiens (Human)	656
Q53Z42_HUMAN	Q53Z42	unreviewed	Q53Z42_HUMAN	HLA class I antigen (HLA class I histocompatibility antigen A alpha chain) (MHC class I antigen) (Major histocompatibility complex, class I, A)	HLA-A	Homo sapiens (Human)	365
TPOR_HUMAN	P40238	reviewed	TPOR_HUMAN	Thrombopoietin receptor (TPO-R) (Myeloproliferative leukemia protein) (Proto-oncogene c-Mpl) (CD antigen CD110)	MPL TPOR	Homo sapiens (Human)	635
DLG4_HUMAN	P78352	reviewed	DLG4_HUMAN	Disks large homolog 4 (Postsynaptic density protein 95) (PSD-95) (Synapse-associated protein 90) (SAP-90) (SAP90)	DLG4 PSD95	Homo sapiens (Human)	724
SOX30_HUMAN	O94993	reviewed	SOX30_HUMAN	Transcription factor SOX-30	SOX30	Homo sapiens (Human)	753
RASH_HUMAN	P01112	reviewed	RASH_HUMAN	GTPase HRas (EC 3.6.5.2) (H-Ras-1) (Ha-Ras) (Transforming protein p21) (c-H-ras) (p21ras) [Cleaved into: GTPase HRas, N-terminally processed]	HRAS HRAS1	Homo sapiens (Human)	189
RBP1_HUMAN	Q15311	reviewed	RBP1_HUMAN	RalA-binding protein 1 (RalBP1) (76 kDa Ral-interacting protein) (Dinitrophenyl S-glutathione ATPase) (DNP-SG ATPase) (EC 7.6.2.2, EC 7.6.2.3) (Ral-interacting protein 1)	RALBP1 RLIP RLIP1 RLIP76	Homo sapiens (Human)	655
PRKN_HUMAN	O60260	reviewed	PRKN_HUMAN	E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2)	PRKN PARK2	Homo sapiens (Human)	465
OBSCN_HUMAN	Q5VST9	reviewed	OBSCN_HUMAN	Obscurin (EC 2.7.11.1) (Obscurin-RhoGEF) (Obscurin-myosin light chain kinase) (Obscurin-MLCK)	OBSCN KIAA1556 KIAA1639	Homo sapiens (Human)	7968
KCNE1_HUMAN	P15382	reviewed	KCNE1_HUMAN	Potassium voltage-gated channel subfamily E member 1 (Delayed rectifier potassium channel subunit IsK) (IKs producing slow voltage-gated potassium channel subunit beta Mink) (Minimal potassium channel) (MinK)	KCNE1	Homo sapiens (Human)	129
SERC_HUMAN	Q9Y617	reviewed	SERC_HUMAN	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	PSAT1 PSA	Homo sapiens (Human)	370
CASP7_HUMAN	P55210	reviewed	CASP7_HUMAN	Caspase-7 (CASP-7) (EC 3.4.22.60) (Apoptotic protease Mch-3) (CMH-1) (ICE-like apoptotic protease 3) (ICE-LAP3) [Cleaved into: Caspase-7 subunit p20; Caspase-7 subunit p11]	CASP7 MCH3	Homo sapiens (Human)	303
HEM3_HUMAN	P08397	reviewed	HEM3_HUMAN	Porphobilinogen deaminase (PBG-D) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	HMBS PBGD UPS	Homo sapiens (Human)	361
PKN1_HUMAN	Q16512	reviewed	PKN1_HUMAN	Serine/threonine-protein kinase N1 (EC 2.7.11.13) (Protease-activated kinase 1) (PAK-1) (Protein kinase C-like 1) (Protein kinase C-like PKN) (Protein kinase PKN-alpha) (Protein-kinase C-related kinase 1) (Serine-threonine protein kinase N)	PKN1 PAK1 PKN PRK1 PRKCL1	Homo sapiens (Human)	942
EPHB2_HUMAN	P29323	reviewed	EPHB2_HUMAN	Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2]	EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5	Homo sapiens (Human)	1055
CBS_HUMAN	P35520	reviewed	CBS_HUMAN	Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	CBS	Homo sapiens (Human)	551
SC6A4_HUMAN	P31645	reviewed	SC6A4_HUMAN	Sodium-dependent serotonin transporter (SERT) (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SLC6A4 HTT SERT	Homo sapiens (Human)	630
HMDH_HUMAN	P04035	reviewed	HMDH_HUMAN	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	HMGCR	Homo sapiens (Human)	888
SHOC2_HUMAN	Q9UQ13	reviewed	SHOC2_HUMAN	Leucine-rich repeat protein SHOC-2 (Protein soc-2 homolog) (Protein sur-8 homolog)	SHOC2 KIAA0862	Homo sapiens (Human)	582
RD23A_HUMAN	P54725	reviewed	RD23A_HUMAN	UV excision repair protein RAD23 homolog A (HR23A) (hHR23A)	RAD23A	Homo sapiens (Human)	363
GDIA_HUMAN	P31150	reviewed	GDIA_HUMAN	Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1) (Oligophrenin-2) (Protein XAP-4)	GDI1 GDIL OPHN2 RABGDIA XAP4	Homo sapiens (Human)	447
OTU7A_HUMAN	Q8TE49	reviewed	OTU7A_HUMAN	OTU domain-containing protein 7A (EC 3.4.19.12) (Zinc finger protein Cezanne 2)	OTUD7A C15orf16 CEZANNE2 OTUD7	Homo sapiens (Human)	926
CALM1_HUMAN	P0DP23	reviewed	CALM1_HUMAN	Calmodulin-1	CALM1 CALM CAM CAM1	Homo sapiens (Human)	149
BRCA2_HUMAN	P51587	reviewed	BRCA2_HUMAN	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	BRCA2 FACD FANCD1	Homo sapiens (Human)	3418
KCNH2_HUMAN	Q12809	reviewed	KCNH2_HUMAN	Voltage-gated inwardly rectifying potassium channel KCNH2 (Eag homolog) (Ether-a-go-go-related gene potassium channel 1) (ERG-1) (Eag-related protein 1) (Ether-a-go-go-related protein 1) (H-ERG) (hERG-1) (hERG1) (Potassium voltage-gated channel subfamily H member 2) (Voltage-gated potassium channel subunit Kv11.1)	KCNH2 ERG ERG1 HERG	Homo sapiens (Human)	1159
CBPA2_HUMAN	P48052	reviewed	CBPA2_HUMAN	Carboxypeptidase A2 (EC 3.4.17.15)	CPA2	Homo sapiens (Human)	419
TADBP_HUMAN	Q13148	reviewed	TADBP_HUMAN	TAR DNA-binding protein 43 (TDP-43)	TARDBP TDP43	Homo sapiens (Human)	414
PPARG_HUMAN	P37231	reviewed	PPARG_HUMAN	Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3)	PPARG NR1C3	Homo sapiens (Human)	505
RASK_HUMAN	P01116	reviewed	RASK_HUMAN	GTPase KRas (EC 3.6.5.2) (K-Ras 2) (Ki-Ras) (c-K-ras) (c-Ki-ras) [Cleaved into: GTPase KRas, N-terminally processed]	KRAS KRAS2 RASK2	Homo sapiens (Human)	189
ERBB2_HUMAN	P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	1255
AMFR_HUMAN	Q9UKV5	reviewed	AMFR_HUMAN	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (gp78)	AMFR RNF45	Homo sapiens (Human)	643
PITX2_HUMAN	Q99697	reviewed	PITX2_HUMAN	Pituitary homeobox 2 (ALL1-responsive protein ARP1) (Homeobox protein PITX2) (Paired-like homeodomain transcription factor 2) (RIEG bicoid-related homeobox transcription factor) (Solurshin)	PITX2 ARP1 RGS RIEG RIEG1	Homo sapiens (Human)	317
PIN1_HUMAN	Q13526	reviewed	PIN1_HUMAN	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
PR40A_HUMAN	O75400	reviewed	PR40A_HUMAN	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Homo sapiens (Human)	957
TNKS2_HUMAN	Q9H2K2	reviewed	TNKS2_HUMAN	Poly [ADP-ribose] polymerase tankyrase-2 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 6) (ARTD6) (Poly [ADP-ribose] polymerase 5B) (Protein poly-ADP-ribosyltransferase tankyrase-2) (EC 2.4.2.-) (TNKS-2) (TRF1-interacting ankyrin-related ADP-ribose polymerase 2) (Tankyrase II) (Tankyrase-2) (TANK2) (Tankyrase-like protein) (Tankyrase-related protein)	TNKS2 PARP5B TANK2 TNKL	Homo sapiens (Human)	1166
CD19_HUMAN	P15391	reviewed	CD19_HUMAN	B-lymphocyte antigen CD19 (B-lymphocyte surface antigen B4) (Differentiation antigen CD19) (T-cell surface antigen Leu-12) (CD antigen CD19)	CD19	Homo sapiens (Human)	556
PTEN_HUMAN	P60484	reviewed	PTEN_HUMAN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (EC 3.1.3.-) (Mutated in multiple advanced cancers 1) (Phosphatase and tensin homolog)	PTEN MMAC1 TEP1	Homo sapiens (Human)	403
